#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t2 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       VMIS         TRESCA       TRACE        DETER       
StressInBal      N4201    resImp   SIGM_NOEU                   5  4.95050E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  1.52705E-02  1.59311E-02 -3.91691E-02 -1.46692E-06
StressInBal      N4202    resImp   SIGM_NOEU                   5  4.95050E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  1.48358E-02  1.54865E-02 -3.80503E-02 -1.34446E-06
StressInBal      N4196    resImp   SIGM_NOEU                   6  5.94059E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  2.08811E-02  2.17969E-02 -5.35552E-02 -3.74867E-06
StressInBal      N4197    resImp   SIGM_NOEU                   6  5.94059E-03  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  2.14925E-02  2.24222E-02 -5.51285E-02 -4.08984E-06
StressInBal      N4198    resImp   SIGM_NOEU                   6  5.94059E-03  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  2.04618E-02  2.06091E-02 -6.02152E-02 -5.91930E-06
StressInBal      N4199    resImp   SIGM_NOEU                   6  5.94059E-03  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  2.02800E-02  2.03356E-02 -6.16438E-02 -6.47648E-06
StressInBal      N4200    resImp   SIGM_NOEU                   6  5.94059E-03  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  2.04616E-02  2.06090E-02 -6.02148E-02 -5.91917E-06
StressInBal      N4201    resImp   SIGM_NOEU                   6  5.94059E-03  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  2.14922E-02  2.24219E-02 -5.51281E-02 -4.08976E-06
StressInBal      N4202    resImp   SIGM_NOEU                   6  5.94059E-03  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  2.08804E-02  2.17962E-02 -5.35536E-02 -3.74836E-06
StressInBal      N4196    resImp   SIGM_NOEU                   7  6.93069E-03  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  2.76646E-02  2.88779E-02 -7.09538E-02 -8.71772E-06
