#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t3 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       SIXX         SIYY         SIZZ         SIXY        
StressInBal      N4200    resImp   SIGM_NOEU                  11  1.08911E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -3.68564E-02 -9.47903E-02 -3.77085E-02 -1.81925E-04
StressInBal      N4201    resImp   SIGM_NOEU                  11  1.08911E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -2.88522E-02 -9.17795E-02 -3.44182E-02  1.73391E-03
StressInBal      N4202    resImp   SIGM_NOEU                  11  1.08911E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -2.95012E-02 -8.76515E-02 -3.34709E-02  9.65794E-03
StressInBal      N4196    resImp   SIGM_NOEU                  12  1.18812E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -3.34249E-02 -9.93094E-02 -3.79224E-02 -1.09416E-02
StressInBal      N4197    resImp   SIGM_NOEU                  12  1.18812E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -3.26887E-02 -1.03984E-01 -3.89949E-02 -1.96377E-03
StressInBal      N4198    resImp   SIGM_NOEU                  12  1.18812E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -4.17574E-02 -1.07395E-01 -4.27227E-02  2.06683E-04
StressInBal      N4199    resImp   SIGM_NOEU                  12  1.18812E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -4.41133E-02 -1.08530E-01 -4.37830E-02  2.77727E-07
StressInBal      N4200    resImp   SIGM_NOEU                  12  1.18812E-02  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02 -4.17570E-02 -1.07394E-01 -4.27224E-02 -2.06111E-04
StressInBal      N4201    resImp   SIGM_NOEU                  12  1.18812E-02  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02 -3.26886E-02 -1.03983E-01 -3.89946E-02  1.96444E-03
StressInBal      N4202    resImp   SIGM_NOEU                  12  1.18812E-02  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02 -3.34243E-02 -9.93061E-02 -3.79215E-02  1.09421E-02
StressInBal      N4196    resImp   SIGM_NOEU                  13  1.28713E-02  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -3.71657E-02 -1.10422E-01 -4.21661E-02 -1.21659E-02
StressInBal      N4197    resImp   SIGM_NOEU                  13  1.28713E-02  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -3.63468E-02 -1.15620E-01 -4.33585E-02 -2.18350E-03
StressInBal      N4198    resImp   SIGM_NOEU                  13  1.28713E-02  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -4.64301E-02 -1.19412E-01 -4.75033E-02  2.29808E-04
StressInBal      N4199    resImp   SIGM_NOEU                  13  1.28713E-02  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02 -4.90496E-02 -1.20675E-01 -4.86823E-02  3.08840E-07
