FREQ [Hz],vertical stiffness Real [N/mm],vertical stiffness Imanginary [N/mm],stiffness around X Real [Nmm/rad],stiffness around X Imanginary [Nmm/rad],stiffness around Z Real [Nmm/rad],stiffness around Z Imanginary [Nmm/rad],lateral stiffness Real [N/mm],lateral stiffness Imanginary [N/mm]
362.490377441742,4103969552.75846,650796841.302972,6095779.3627492,966633.855404393,7225568.70472356,1145791.20748169,163075657.280732,25848410.5031079
367.558637661806,4109753179.95452,651824302.297444,6104319.90068674,968159.970514902,7235696.9413887,1147600.17340313,163275113.873566,25889239.9993933
372.697761174406,4115544957.87956,652853385.420403,6112872.40440977,969688.495045812,7245839.37502325,1149411.99530539,163474814.420237,25930133.9889198
377.908738774413,4121344898.0202,653884093.232822,6121436.89068305,971219.432801098,7255996.02552742,1151226.67769746,163674759.219125,25971092.573559
383.192575109772,4127153011.87927,654916428.299719,6130013.37629482,972752.787590744,7266166.91282931,1153044.22509546,163874948.568971,26012115.8553439
388.550288875194,4132969310.97578,655950393.19016,6138601.87805685,974288.563230747,7276352.05688494,1154864.64202265,164075382.768884,26053203.9364685
393.982913008553,4138793806.845,656985990.477268,6147202.41280444,975826.76354313,7286551.47767832,1156687.9330094,164276062.118339,26094356.9192881
399.491494890031,4144626511.03845,658023222.738228,6155814.99739652,977367.392355949,7296765.19522146,1158514.10259326,164476986.917176,26135574.9063198
405.077096544051,4150467435.12393,659062092.554293,6164439.64871559,978910.453503305,7306993.22955443,1160343.15531894,164678157.465602,26176858.0002427
410.740794844023,4156316590.68553,660102602.510794,6173076.38366786,980455.950825351,7317235.60074537,1162175.09573832,164879574.064192,26218206.3038978
416.483681719965,4162173989.32368,661144755.19714,6181725.21918317,982003.888168305,7327492.32889058,1164009.92841046,165081237.013887,26259619.920289
422.306864369017,4168039642.65516,662188553.206831,6190386.17221512,983554.269384454,7337763.43411451,1165847.65790164,165283146.615999,26301098.9525824
428.211465468904,4173913562.3131,663233999.137459,6199059.25974104,985107.098332169,7348048.93656982,1167688.28878532,165485303.172205,26342643.5041075
434.198623394386,4179795759.94704,664281095.59072,6207744.49876206,986662.378875913,7358348.85643743,1169531.8256422,165687706.984553,26384253.6783568
440.269492436723,4185686247.22294,665329845.172415,6216441.90630312,988220.11488625,7368663.21392653,1171378.27306021,165890358.355461,26425929.5789862
446.425243026222,4191585035.82321,666380250.49246,6225151.49941303,989780.310239852,7378992.02927466,1173227.63563451,166093257.587715,26467671.3098154
452.667061957886,4197492137.44668,667432314.164891,6233873.29516446,991342.968819517,7389335.32274771,1175079.91796754,166296404.984473,26509478.9748283
458.996152620225,4203407563.80872,668486038.807871,6242607.31065401,992908.094514168,7399693.11463997,1176935.12466899,166499800.849263,26551352.6781727
465.413735227259,4209331326.64119,669541427.043698,6251353.56300225,994475.691218869,7410065.42527421,1178793.26035582,166703445.485983,26593292.5241612
471.921047053771,4215263437.69246,670598481.498808,6260112.06935373,996045.762834836,7420452.27500166,1180654.32965229,166907339.198906,26635298.617271
478.519342673846,4221203908.72749,671657204.803784,6268882.84687699,997618.313269443,7430853.68420207,1182518.33718997,167111482.292675,26677371.0621443
485.209894202748,4227152751.52781,672717599.593364,6277665.91276466,999193.34643623,7441269.67328378,1184385.28760771,167315875.072305,26719509.9635888
491.993991542171,4233109977.89154,673779668.506442,6286461.28423345,1000770.86625492,7451700.26268373,1186255.18555173,167520517.843184,26761715.4265776
498.872942628932,4239075599.63345,674843414.186081,6295268.97852419,1002350.87665142,7462145.4728675,1188128.03567555,167725410.911077,26803987.5562496
505.848073687132,4245049628.58494,675908839.279516,6304089.01290186,1003933.38155784,7472605.32432935,1190003.84264004,167930554.582118,26846326.4579098
512.92072948384,4251032076.59409,676975946.438163,6312921.40465562,1005518.3849125,7483079.8375923,1191882.61111345,168135949.162818,26888732.2370295
520.092273588363,4257022955.52569,678044738.31762,6321766.17109888,1007105.89065992,7493569.03320809,1193764.34577138,168341594.960065,26931204.9992468
527.364088635134,4263022277.26123,679115217.577682,6330623.32956929,1008695.90275088,7504072.93175731,1195649.05129681,168547492.281117,26973744.8503664
534.737576590271,4269030053.69895,680187386.88234,6339492.8974288,1010288.42514236,7514591.55384938,1197536.73238014,168753641.433613,27016351.8963602
542.214159021872,4275046296.75387,681261248.899793,6348374.89206366,1011883.46179762,7525124.9201226,1199427.39371914,168960042.725565,27059026.2433676
549.79527737409,4281071018.35779,682336806.302452,6357269.33088452,1013481.01668615,7535673.05124422,1201321.04001902,169166696.465363,27101767.9976955
557.482393245026,4287104230.45933,683414061.766945,6366176.23132638,1015081.09378373,7546235.96791044,1203217.67599242,169373602.961775,27144577.2658189
565.276988668524,4293145945.02395,684493017.974129,6375095.61084871,1016683.69707241,7556813.69084648,1205117.3063594,169580762.523944,27187454.1543809
573.180566399898,4299196174.03396,685573677.609091,6384027.4869354,1018288.83054051,7567406.24080662,1207019.93584748,169788175.461394,27230398.7701929
581.194650205654,4305254929.48858,686656043.361159,6392971.87709487,1019896.49818267,7578013.63857422,1208925.56919167,169995842.084027,27273411.2202353
589.320785157262,4311322223.40392,687740117.923905,6401928.79886005,1021506.70399983,7588635.90496176,1210834.21113442,170203762.702122,27316491.6116572
597.560537929042,4317398067.81302,688825903.995156,6410898.26978845,1023119.45199923,7599273.06081092,1212745.86642568,170411937.626339,27359640.0517772
605.915497100206,4323482474.76591,689913404.276995,6419880.30746216,1024734.74619447,7609925.12699259,1214660.5398229,170620367.167718,27402856.6480832
614.387273461129,4329575456.32957,691002621.475774,6428874.92948792,1026352.59060545,7620592.12440688,1216578.23609105,170829051.637681,27446141.5082331
622.977500323901,4335677024.58799,692093558.302116,6437882.15349713,1027972.98925844,7631274.07398325,1218498.9600026,171037991.348027,27489494.7400547
