Frequencies [Hz]    Rail Acc TF [m/s^2/N]    TDR [dB/m]    Sound Presure [Pa]
342.9066278234    (-0.00405905788889777+0.00499837278854326j)    14.442518341696953    (-6.619238520739404e-08+8.555076034714113e-08j)
347.701072391167    (-0.004171420367404021+0.005165449744755408j)    14.416189197683549    (-9.46197215715489e-08-1.7452926765742283e-08j)
352.562551821629    (-0.004305866293172325+0.0053666151049180325j)    14.389527324715988    (-2.846982833775341e-08-8.812686173692329e-08j)
357.492003381399    (-0.004460991959882164+0.00560336911132566j)    14.357882387620066    (6.309269635525242e-08-7.608122536954469e-08j)
362.490377441742    (-0.004369239702012028+0.005900009199102276j)    13.77430660290299    (9.221105350923525e-08+9.568261718350898e-10j)
367.558637661806    (-0.004015698299070727+0.006250044764228388j)    12.683901047889684    (4.969565232280959e-08+6.424273860440328e-08j)
372.697761174406    (-0.003648957442526784+0.006332336168170928j)    11.84122455560082    (-2.1005035061103517e-08+1.0470119760087268e-07j)
377.908738774413    (-0.0032532101230963737+0.006171177008343602j)    11.034851904013076    (-8.904819416682178e-08+1.1161066828269537e-07j)
383.192575109772    (-0.0031755636679959604+0.005666364680494151j)    10.938793561431806    (-1.3180576676666202e-07+8.199095630785206e-08j)
388.550288875194    (-0.003303539109004499+0.004829093039433691j)    11.418850598500491    (-1.551514874923719e-07-5.869275735480557e-09j)
393.982913008553    (-0.003944298097355229+0.004528028015258301j)    13.42580044219138    (-1.96673042436609e-07-6.541765676269293e-08j)
399.491494890031    (-0.004869690826306358+0.004479676530089416j)    16.350362515466994    (-2.520627785703e-07-1.0207404771293662e-07j)
405.077096544051    (-0.006077818271141657+0.004579451571135373j)    19.473799779033214    (-3.2584327589824486e-07-1.1768013174677022e-07j)
410.740794844023    (-0.007252429126312896+0.004958801372244119j)    20.876968135630385    (-4.015289165903643e-07-9.15362145658702e-08j)
416.483681719965    (-0.007020307672205123+0.006662023902737996j)    17.279075624377732    (-3.9588206501067303e-07+5.352767287828624e-08j)
422.306864369017    (-0.00660795653656969+0.00815273217847944j)    14.850595316205478    (-3.339065800590305e-07+2.2747710827155105e-07j)
428.211465468904    (-0.006069119568769845+0.00932861183191749j)    13.184202510869984    (-1.663755068338972e-07+3.744554680427204e-07j)
434.198623394386    (-0.005241251047028269+0.00969977506407964j)    11.915202597563042    (6.76170499915544e-08+3.375035320385228e-07j)
440.269492436723    (-0.0043100164109144135+0.009725397233187622j)    10.6666970901288    (1.7513358936620022e-07+1.4180685605327382e-07j)
446.425243026222    (-0.002907573480092689+0.008977028511952596j)    8.806583573806446    (8.965929896893869e-09+3.941736522326533e-08j)
452.667061957886    (-0.0020904354319563963+0.007935125051225098j)    7.399306554658021    (5.7611240674188326e-08+1.9926372499642559e-07j)
458.996152620225    (-0.0018528444582749642+0.00593592837202458j)    5.956547383888343    (2.9928915303768473e-07+5.894811856892633e-08j)
465.413735227259    (-0.0024490154464375507+0.004858307296936438j)    5.958401176597823    (2.3131089518205574e-07-2.11713579459733e-07j)
471.921047053771    (-0.003410831090703108+0.00402061617582359j)    7.213258313967144    (-4.21794389909245e-08-3.3451944196626865e-07j)
478.519342673846    (-0.004493687760950541+0.0034659097802544224j)    9.957463695305117    (-3.463191121891296e-07-1.4262116459843662e-07j)
485.209894202748    (-0.005441245412312469+0.0032575649993801937j)    13.127217810399992    (-2.8687263043528937e-07+2.921626986719357e-07j)
491.993991542171    (-0.006313192642131954+0.003125172493734225j)    16.239225360684763    (2.1761396574790747e-07+3.8503111018319957e-07j)
498.872942628932    (-0.007053237668534293+0.002896414993841376j)    18.850634468749284    (4.4650653138405136e-07-1.502244849592997e-07j)
505.848073687132    (-0.007851740799182615+0.0026638724243606597j)    21.58717311299064    (-1.2019499869053577e-07-4.878187808672291e-07j)
512.92072948384    (-0.00886907400981809+0.0024641345732981912j)    24.776423309684112    (-5.216553172979466e-07+1.4632379138977983e-07j)
520.092273588363    (-0.01021681612582775+0.002333333964589202j)    28.05686520884947    (2.4377430166410576e-07+5.404084082779317e-07j)
527.364088635134    (-0.011465226197136464+0.0027614939251738736j)    29.234956422845226    (4.783286178520267e-07-4.1603867718180395e-07j)
534.737576590271    (-0.012739138824026714+0.003369467422810108j)    29.484389849084526    (-6.093839496035786e-07-2.916115065964733e-07j)
542.214159021872    (-0.013914925826041867+0.004022441872420387j)    29.21255652790795    (5.094625007533926e-08+7.119555730274536e-07j)
549.79527737409    (-0.014806469257303202+0.004446419909707769j)    28.99931829739586    (5.730858247346307e-07-4.6981470493915446e-07j)
557.482393245026    (-0.01575777314252909+0.004967288742025922j)    28.666297659917028    (-7.619111618177547e-07-1.1398489410132185e-07j)
565.276988668524    (-0.017058301051128592+0.005798165418721364j)    28.04091402251414    (5.358654744076208e-07+6.130874791899345e-07j)
573.180566399898    (-0.018097085613503573+0.006917592674379382j)    27.09551868727393    (-1.2317440998690103e-07-8.40336026646961e-07j)
581.194650205654    (-0.01817533514758381+0.008119048456346579j)    25.945664176288695    (-2.476649362315664e-07+8.109171343130925e-07j)
589.320785157262    (-0.01708377315805224+0.009120725528548434j)    24.37637989887049    (4.564218244829811e-07-6.566648731943003e-07j)
597.560537929042    (-0.018004276869777232+0.008315550833984187j)    25.773012205472046    (-6.381394232526812e-07+5.021820542017456e-07j)
605.915497100206    (-0.019758806178967695+0.007932908829322948j)    26.932919693170525    (7.509781171597235e-07-4.2240184227569925e-07j)
614.387273461129    (-0.021790113970992092+0.008123087842687804j)    27.307810254204743    (-8.050929410400414e-07+4.5576563955527295e-07j)
622.977500323901    (-0.024050043831096986+0.008918450406599006j)    27.025736248272764    (7.813221867646289e-07-6.235122122036728e-07j)
631.687833837219    (-0.027216929550985754+0.010418120592817916j)    26.19188523951179    (-6.180240939992164e-07+9.259496924629945e-07j)
640.519953305687    (-0.03181082355077424+0.012548132496486085j)    24.934458834929455    (1.8221961552999596e-07-1.273937215090784e-06j)
