Real Part    |   Imag Part
1.2073115328582755e-10  |  -1.155886277257661e-11
1.3554557090790044e-10  |  -1.2749437897713004e-11
1.5214065749713564e-10  |  -1.4264829633564515e-11
1.7102057723344816e-10  |  -1.622722278814051e-11
1.9288949131709764e-10  |  -1.8823391930523096e-11
2.1876188572816265e-10  |  -2.2350422182185874e-11
2.5015415062257484e-10  |  -2.7304134864229923e-11
2.894358986968844e-10  |  -3.4562570757329764e-11
3.405178692987148e-10  |  -4.580151159375607e-11
4.1030987071694405e-10  |  -6.454672485337478e-11
5.121140328465501e-10  |  -9.926315758108751e-11
6.743039488180744e-10  |  -1.744792242211843e-10
9.613403614137648e-10  |  -3.84482458775174e-10
1.3758327037487805e-09  |  -1.2544810516273853e-09
-7.713454415742117e-10  |  -2.4645098979432007e-09
-1.145419691377169e-09  |  -6.761710666539439e-10
-7.46855121588814e-10  |  -2.480410814309546e-10
-5.261086618677454e-10  |  -1.2438453054454856e-10
-3.956853091181684e-10  |  -7.440808910455509e-11
-3.102990883447409e-10  |  -4.9676985373175025e-11
-2.498810133424335e-10  |  -3.5744027337161146e-11
-2.0458421468030192e-10  |  -2.7162161055772743e-11
-1.6908495007216574e-10  |  -2.1522949057286196e-11
-1.402715498430233e-10  |  -1.763225342274696e-11
-1.1620887194336656e-10  |  -1.4844728549396005e-11
-9.563159136294346e-11  |  -1.278740636047164e-11
-7.767744715049055e-11  |  -1.1232850861682626e-11
-6.173804634497343e-11  |  -1.0036160593091761e-11
-4.737108465068474e-11  |  -9.101604802351566e-12
-3.42464393970666e-11  |  -8.363987382999582e-12
-2.2111822924710684e-11  |  -7.777760068124473e-12
-1.0770185584443188e-11  |  -7.310414978800536e-12
-6.442045571494733e-14  |  -6.9383406406898504e-12
1.0133258940060592e-11  |  -6.644148428860764e-12
1.992887339629741e-11  |  -6.4149052434754835e-12
2.941217509031904e-11  |  -6.240940994034234e-12
3.866073951880397e-11  |  -6.115030446698043e-12
4.77430848323464e-11  |  -6.031825102159317e-12
5.672111254140249e-11  |  -5.987456326068098e-12
6.565207472341048e-11  |  -5.979258989730262e-12
7.459021521089948e-11  |  -6.005582621118958e-12
8.358819474295427e-11  |  -6.065668643436429e-12
